Responder,Question,ResponseType
29,2,Rotation options
29,2,PGY2 options
29,2,RPD interactions
29,2,Staffing
29,2,Resident interactions
29,2,Preceptor interactions
29,2,Teaching hospital
28,2,Perceived fit
28,2,Preceptor interactions
28,2,Resident interactions
28,2,PGY2 options
28,2,Patient acuity
28,2,Teaching hospital
27,2,Location
27,2,Time commitment
27,2,PGY2 options
27,2,Rotation options
26,2,Preceptor interactions
26,2,Resident interactions
26,2,Rotation options
26,2,Research opportunities
25,2,Location
25,2,PGY2 options
25,2,Resident interactions
24,2,PGY2 options
24,2,Location
23,2,Location
23,2,Preceptor interactions
23,2,Rotation options
23,2,Program reputation
22,2,Rotation options
21,2,Perceived fit
21,2,PGY2 options
21,2,Location
20,2,Perceived fit
20,2,Preceptor interactions
19,2,RPD interactions
19,2,Preceptor interactions
19,2,Resident interactions
19,2,Rotation options
19,2,PGY2 options
19,2,Teaching hospital
18,2,Rotation options
18,2,Preceptor interactions
17,2,PGY2 options
17,2,Preceptor interactions
16,2,PGY2 options
16,2,Research opportunities
16,2,Patient acuity
16,2,Location
15,2,Rotation options
15,2,RPD interactions
15,2,Preceptor interactions
15,2,Resident interactions
15,2,Patient acuity
15,2,Location
14,2,Perceived fit
14,2,PGY2 options
14,2,Location
14,2,Rotation options
14,2,Preceptor interactions
13,2,RPD interactions
13,2,Preceptor interactions
13,2,Resident interactions
12,2,Rotation options
12,2,Resident interactions
11,2,Rotation options
11,2,Program reputation
11,2,Resident interactions
11,2,Preceptor interactions
10,2,Perceived fit
10,2,Resident interactions
9,2,Preceptor interactions
9,2,Location
9,2,Rotation options
8,2,Rotation options
8,2,Time commitment
8,2,Preceptor interactions
8,2,Retention of residents
7,2,Resident interactions
7,2,Patient acuity
6,2,Patient acuity
6,2,Resident interactions
6,2,Preceptor interactions
5,2,Rotation options
5,2,Preceptor interactions
4,2,Rotation options
4,2,Perceived fit
4,2,Preceptor interactions
3,2,Perceived fit
3,2,Preceptor interactions
3,2,Resident interactions
2,2,PGY2 options
2,2,Teaching hospital
2,2,Resident interactions
2,2,Location
1,2,Perceived fit
1,2,Rotation options
1,2,PGY2 options
